item_id,metadata_field_id,text_value,place,handle
2,9,"Webster, Janet G.",1,1957/9
2,9,"Rielly, Loretta",2,1957/9
3,9,"Lehman, Heather",1,1957/15
3,9,"Webster, Janet G.",2,1957/15
4,9,"Webster, Janet G.",1,1957/10
4,9,"Cole, Maureen",2,1957/10
